Year,Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Standard error of ladder score,Logged GDP per capita,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Ladder score in Dystopia,Social support.1,Generosity.1
2016,Greece,Western Europe,99.0,5.033,4.935,5.131,1.24886,0.75473,0.80029,0.05822,0.04127,0.0,2.12944,,,,,,,,
2017,Greece,,87.0,5.22700023651123,5.12875430360436,5.3252461694181,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.04328977689147,0.0,1.74922156333923,,,,,,,,
2018,Greece,,79.0,5.358,,,1.154,1.202,0.879,0.131,0.044,0.0,,,,,,,,,
2019,Greece,,82.0,5.287,,,1.181,1.156,0.999,0.067,0.034,0.0,,,,,,,,,
2020,Greece,Western Europe,,5.514999866,5.423013687,5.606986046,1.128070116,0.814380348,0.979431748,0.173516348,0.048844352,-0.300907373,2.016179085,0.046931833,10.13232613,72.40525818,0.541345119,0.859931409,1.972316742,1.168973565,0.0
2021,Greece,Western Europe,,5.723,5.632,5.813,1.273,0.823,0.76,0.243,0.074,-0.288,2.561,0.046,10.279,72.6,0.582,0.823,2.43,0.811,0.0
2022,Greece,,58.0,"5,948","5,853","6,043","1,703","0,980","0,774","0,249","0,108","0,015","2,119",,,,,,,,
2016,Netherlands,Western Europe,7.0,7.339,7.284,7.394,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,,,,,,,,
2017,Netherlands,,6.0,7.3769998550415,7.32657386884093,7.42742584124207,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.282661825418472,0.470489829778671,2.29480409622192,,,,,,,,
2018,Netherlands,,6.0,7.441,,,1.361,1.488,0.878,0.638,0.295,0.333,,,,,,,,,
2019,Netherlands,,5.0,7.488,,,1.396,1.522,0.999,0.557,0.298,0.322,,,,,,,,,
2020,Netherlands,Western Europe,,7.448900223,7.394428253,7.503372192,1.338946342,0.93913883,0.975675344,0.61362648,0.368569762,0.20761244,2.352117062,0.02779175,10.81271172,72.30091858,0.908547819,0.364717126,1.972316742,1.463645935,0.336317569
2021,Netherlands,Western Europe,,7.464,7.41,7.518,1.501,0.942,0.753,0.647,0.384,0.175,2.798,0.027,10.932,72.4,0.913,0.338,2.43,1.079,0.302
2022,Netherlands,,5.0,"7,415","7,359","7,471","1,945","1,206","0,787","0,651","0,419","0,271","2,137",,,,,,,,
